아래 표는 2024년 부산에 출전한 경마 상금 순위입니다.,,,,,,,
,,,,,,,
마명,출전수,1위,2위,3위,승률,복승률,수득상금
미러클마린,11,5,4,0,45.5,81.8,245900000
헌터드래곤,10,5,3,0,50,80,194700000
글로벌히트,8,5,2,1,62.5,87.5,2569000000
미스터키맨,10,5,0,1,50,50,160800000
최고의꿈,6,5,0,0,83.3,83.3,214500000
영광의탱크,13,4,3,1,30.8,53.8,230550000
그랜드선,9,4,2,1,44.4,66.7,232350000
금아휴즈히트,11,4,2,1,36.4,54.5,166050000
블랙맘바,7,4,1,0,57.1,71.4,302500000
유어턴,7,4,1,0,57.1,71.4,131700000
닥터캡틴,14,4,0,2,28.6,28.6,158900000
석세스백파,7,4,0,2,57.1,57.1,1157750000
얼라이브스타,10,4,0,1,40,40,227150000
판타스틱킹덤,9,4,0,1,44.4,44.4,264050000
레이디베이더,7,4,0,0,57.1,57.1,169500000
정문코빗,6,4,0,0,66.7,66.7,165000000
킹드래곤,6,4,0,0,66.7,66.7,108450000
브리도위저드,13,3,4,2,23.1,53.8,158900000
강서자이언트,9,3,3,0,33.3,66.7,739700000
컨트롤러,9,3,2,2,33.3,55.6,200650000
킹애니데이,15,3,2,2,20,33.3,173500000
맥스더캣,8,3,2,1,37.5,62.5,100950000
브리도프린스,7,3,2,1,42.9,71.4,165150000
선더가이,9,3,2,1,33.3,55.6,99750000
고스트아마존,9,3,2,0,33.3,55.6,95700000
닥터브라운,10,3,2,0,30,50,180950000
레이저그릿,9,3,2,0,33.3,55.6,93450000
그레이보스,10,3,1,2,30,40,99150000
라이즈더스론,7,3,1,2,42.9,57.1,153750000
승리파티,12,3,1,2,25,33.3,107300000
라온바이브맨,8,3,1,1,37.5,50,95550000
서귀퍼펙트,8,3,1,1,37.5,50,86600000
신천퍼스트,10,3,1,1,30,40,93250000
위너클리어,5,3,1,1,60,80,295050000
컬럼비아챔프,8,3,1,1,37.5,50,109050000
트로피웨어,8,3,1,1,37.5,50,97500000
당대스타,7,3,1,0,42.9,57.1,92700000
부산투데이,8,3,1,0,37.5,50,91950000
캄스트롱,5,3,1,0,60,80,487850000
국대스타,9,3,0,3,33.3,33.3,92800000
소머치고,11,3,0,3,27.3,27.3,233200000
아너로드,8,3,0,3,37.5,37.5,96800000
카탈리나마린,7,3,0,3,42.9,42.9,155250000
뱅뱅뱅,8,3,0,2,37.5,37.5,251750000
벌마의엔젤,5,3,0,2,60,60,86850000
오늘이순간,6,3,0,2,50,50,88050000
퍼펙트액션,9,3,0,2,33.3,33.3,128250000
라스트드래곤,5,3,0,1,60,60,97050000
즐거운여정,7,3,0,1,42.9,42.9,895000000
판타스틱우먼,9,3,0,1,33.3,33.3,118050000
